Property_Type,Location,Lat-Lon,Price_USD,Area_sqm,Bedrooms,Bathrooms,Year_Built,Parking_Spaces
Villa,"Gondar, Maraki, Community Block C","(12.68935, 37.39731)","$640,974",500,3,4.0,2024.0,4.0
Villa,"Gambella, Newland, Zone 3","8.211588,34.536742","$176,216",338,1,2.0,1995.0,
Villa,"Mekelle, Kedamay Weyane, Community 3","13.472406,39.510958","$280,210",240,2,3.0,1982.0,0.0
Villa,"Jimma, Hermata, Area 11","7.591317,36.838435",254165,269,1,,2024.0,1.0
Condominium,"Dire Dawa, Kezira, Kebele 8",Lon: 41.9182 / Lat: 9.6195,74715,194,zero,0.0,1964.0,0.0
Apartment,"Gondar, Maraki, Community Block A",Lon: 37.5216 / Lat: 12.6594,177621,313 sqm,1,1.0,1976.0,0.0
Condominium,"Gambella, Tier-kidi, Block 2","8.250801,34.562723",45498,161 sqm,zero,0.0,1960.0,0.0
Apartment,"Adama, Goro, Rural Kebele 28","8.614240,39.284311","$105,810",152,zero,1.0,,0.0
Apartment,"Dire Dawa, Goro, Sector 6","(9.60649, 41.84018)",132374,209,1,1.0,2008.0,1.0
Villa,"Jimma, Jiren, Kebele 15","7.624554,36.841051",96065,174 sqm,zero,0.0,1964.0,0.0
Condominium,"Jimma, Jiren, Kebele 5","(7.66961, 36.83519)",73352,217,1,1.0,1960.0,0.0
Condominium,"Adama, Boku, Ganda 1","8.642211,39.309948",175195,325 sqm,1,1.0,2015.0,0.0
Villa,"Bahir Dar, Tana, Kebele 5","(11.62225, 37.41232)",152493,150,zero,0.0,,0.0
Villa,"Adama, Goro, Rural Kebele 23","8.539934,39.296166",311433,332,2,2.0,2018.0,2.0
Villa,"Assosa, Menge, Village Unit 6","10.065985,34.462179",256520,441 sqm,4,4.0,1982.0,1.0
Villa,"Mekelle, Hawelti, Kebele 5",,"$282,536",295,1,,1996.0,0.0
Villa,"Addis Ababa, Bole, Kebele 06","9.045937,38.757568",880093,433 sqm,3,4.0,2023.0,3.0
Apartment,"Gambella, Tier-kidi, Block 3","8.218006,34.561770",178408,417,2,3.0,1980.0,2.0
Apartment,"Jimma, Hermata, Area 9",,79269,215,zero,0.0,1973.0,0.0
Apartment,"Harar, Amir-Nur, Block 15","9.235891,42.134374",148048,272 sqm,zero,0.0,2001.0,0.0
Condominium,"Adama, Dabe, Kebele 6","8.539151,39.316815","$173,940",351 sqm,1,1.0,1991.0,1.0
Apartment,"Gambella, Tier-kidi, Block 6","8.211583,34.606811",90941,150,zero,0.0,1985.0,0.0
Apartment,"Bahir Dar, Gish Abay, Sector 6","11.609362,37.413582",320951,404 sqm,3,3.0,2012.0,2.0
Apartment,"Gambella, Tier-kidi, Block 6","8.226160,34.513727","$196,267",417,3,2.0,,2.0
Villa,"Gambella, Newland, Zone 2","8.300962,34.538192",242004,412,2,2.0,2024.0,2.0
Villa,"Dire Dawa, Goro, Sector 2","9.567485,41.898363","$299,724",341 sqm,2,2.0,1977.0,1.0
Villa,"Jimma, Jiren, Kebele 10","7.750081,36.799684",290892,403,2,3.0,2024.0,5.0
Villa,"Adama, Dabe, Kebele 5","8.537372,39.151859",263251,321,1,3.0,1987.0,0.0
Apartment,"Mekelle, Hawelti, Kebele 12","13.596972,39.521904",265595,420,2,2.0,2010.0,1.0
Apartment,"Jimma, Hermata, Area 10","7.662298,36.853772",203667,458,2,2.0,1984.0,1.0
Condominium,"Bahir Dar, Gish Abay, Sector 1",,122615,193 sqm,1,0.0,1980.0,0.0
Villa,"Dire Dawa, Kezira, Kebele 3","(9.60728, 41.80601)",331540,351,2,1.0,2016.0,0.0
Condominium,"Adama, Goro, Rural Kebele 29",Lon: 39.2752 / Lat: 8.5653,"$202,282",290 sqm,1,,,0.0
Condominium,"Mekelle, Hawelti, Kebele 14","(13.53650, 39.40938)","$148,163",345 sqm,zero,1.0,2004.0,1.0
Apartment,"Assosa, Menge, Village Unit 4","10.029606,34.589259",163254,447,2,2.0,1998.0,1.0
Apartment,"Gondar, Maraki, Community Block C","12.634422,37.467650",186333,251,2,1.0,1986.0,0.0
Villa,"Jimma, Jiren, Kebele 3","(7.68132, 36.91596)","$196,201",304,2,3.0,1963.0,0.0
Villa,"Bahir Dar, Tana, Kebele 15","(11.59757, 37.34588)","$391,276",285,1,1.0,2024.0,1.0
Villa,"Mekelle, Hawelti, Kebele 2",Lon: 39.4525 / Lat: 13.4433,370248,412,3,3.0,1994.0,2.0
Villa,"Mekelle, Hawelti, Kebele 5","13.529042,39.520029",476517,500,4,5.0,2023.0,3.0
Apartment,"Jimma, Hermata, Area 11","7.672724,36.844203","$98,248",238 sqm,zero,0.0,1971.0,0.0
Apartment,"Addis Ababa, Kirkos, Kebele 05","9.055226,38.715417",198275,267 sqm,2,2.0,1961.0,2.0
Condominium,"Gambella, Tier-kidi, Block 1",Lon: 34.6223 / Lat: 8.2217,100971,314,1,2.0,1986.0,1.0
Apartment,"Bahir Dar, Gish Abay, Sector 3","11.540770,37.357036",207076,272 sqm,2,1.0,1993.0,0.0
Villa,"Bahir Dar, Meshenti, Village 1","11.571775,37.362672","$366,134",367,2,2.0,,1.0
Villa,"Addis Ababa, Lideta, Zone 2","9.019480,38.657337",641699,500,3,1.0,2021.0,1.0
Condominium,"Gambella, Tier-kidi, Block 4",,"$102,707",283 sqm,zero,1.0,,1.0
Villa,"Adama, Boku, Ganda 6","8.524246,39.221380","$324,053",342,2,2.0,1987.0,1.0
Condominium,"Bahir Dar, Gish Abay, Sector 2","11.529572,37.391132",157407,272,zero,0.0,2005.0,0.0
Villa,"Jimma, Hermata, Area 10","7.762682,36.830459","$230,162",291,2,3.0,2002.0,1.0
Apartment,"Gambella, Newland, Zone 4","(8.36176, 34.62918)",75935,154 sqm,zero,0.0,1990.0,0.0
Villa,"Assosa, Menge, Village Unit 8",Lon: 34.5614 / Lat: 10.0691,180339,336 sqm,3,2.0,1976.0,1.0
Apartment,"Jimma, Hermata, Area 14","7.729132,36.892920",171726,351 sqm,1,1.0,1999.0,1.0
Villa,"Dire Dawa, Goro, Sector 5","9.614896,41.896368",346123,367,3,4.0,1978.0,4.0
Apartment,"Harar, Jugol, Gate 2","9.366649,42.086073",121940,221,zero,0.0,1976.0,0.0
Condominium,"Adama, Goro, Rural Kebele 21",Lon: 39.3330 / Lat: 8.5495,184951,280,zero,1.0,2024.0,
Villa,"Gondar, Maraki, Community Block C",Lon: 37.4070 / Lat: 12.6700,"$310,526",308,1,1.0,,
Villa,"Addis Ababa, Bole, Kebele 02",,488057,348,3,3.0,1982.0,1.0
Apartment,"Jimma, Hermata, Area 14","7.698967,36.847045","$214,735",500,2,,2007.0,1.0
Condominium,"Mekelle, Hawelti, Kebele 1","13.468179,39.584261",136461,358,2,,1960.0,0.0
Villa,"Gambella, Tier-kidi, Block 3","(8.26860, 34.49456)",116037,234 sqm,1,1.0,,0.0
Condominium,"Dire Dawa, Kezira, Kebele 9","(9.65934, 41.93860)",186705,383,3,3.0,1994.0,0.0
Villa,"Gambella, Newland, Zone 2","8.200991,34.526965","$204,764",335 sqm,3,2.0,1969.0,0.0
Condominium,"Mekelle, Hawelti, Kebele 6","13.488915,39.437330","$183,489",396,1,1.0,2024.0,
Apartment,"Adama, Dabe, Kebele 14","8.466021,39.258513","$375,280",462,2,3.0,2024.0,2.0
Villa,"Adama, Boku, Ganda 10",Lon: 39.4322 / Lat: 8.5191,"$143,467",162,zero,0.0,1985.0,0.0
Condominium,"Adama, Dabe, Kebele 8","(8.56198, 39.32572)","$146,895",269,1,1.0,1981.0,0.0
Condominium,"Addis Ababa, Lideta, Zone 2","(8.99410, 38.73479)","$307,476",379,2,1.0,2013.0,3.0
Apartment,"Adama, Goro, Rural Kebele 25",,202067,311,zero,1.0,2007.0,1.0
Apartment,"Dire Dawa, Kezira, Kebele 2","9.588778,41.878144",209311,321 sqm,2,1.0,1984.0,1.0
Villa,"Gondar, Fasiledes, Kebele 9","12.597594,37.340958",209746,234,1,1.0,1975.0,0.0
Villa,"Assosa, Menge, Village Unit 9","10.069544,34.545199",247885,411,3,3.0,1981.0,
Apartment,"Adama, Boku, Ganda 9","(8.56625, 39.23427)","$257,197",383,2,,1997.0,2.0
Condominium,"Gambella, Tier-kidi, Block 4","8.214836,34.534299",72166,196,zero,0.0,1985.0,
Apartment,"Gambella, Tier-kidi, Block 1","8.306430,34.539200","$157,953",349,1,,1993.0,1.0
Villa,"Gondar, Fasiledes, Kebele 5","(12.53451, 37.38678)",298349,229,zero,,2003.0,0.0
Condominium,"Jimma, Hermata, Area 12","7.628189,36.796340",57528,157,zero,0.0,1988.0,0.0
Condominium,"Jimma, Jiren, Kebele 8",Lon: 36.8231 / Lat: 7.6550,94198,183,zero,0.0,1987.0,0.0
Condominium,"Adama, Goro, Rural Kebele 24",Lon: 39.2547 / Lat: 8.6241,"$226,601",390 sqm,2,,,3.0
Villa,"Assosa, Sherkole, District 1","10.011461,34.569235","$194,998",285 sqm,1,,1998.0,0.0
Villa,"Jimma, Jiren, Kebele 7",Lon: 36.7861 / Lat: 7.6668,"$216,302",290 sqm,2,2.0,2006.0,0.0
Condominium,"Mekelle, Hadnet, Admin Unit 8","13.546697,39.488156",204018,401 sqm,3,4.0,2018.0,3.0
Apartment,"Assosa, Menge, Village Unit 3","10.050259,34.550618",44808,150 sqm,zero,0.0,1979.0,0.0
Apartment,"Gondar, Maraki, Community Block B","12.547991,37.422376","$227,800",346,1,1.0,1960.0,0.0
Apartment,"Mekelle, Hawelti, Kebele 4","13.486012,39.503485",209134,436,2,1.0,2004.0,0.0
Apartment,"Harar, Abadir, Zone 5",Lon: 42.0785 / Lat: 9.3200,69036,150 sqm,zero,0.0,1987.0,0.0
Condominium,"Assosa, Sherkole, District 1","10.092117,34.475265","$51,882",150,zero,0.0,1992.0,0.0
Apartment,"Harar, Abadir, Zone 7","9.287194,42.135727",117728,251,1,1.0,1980.0,0.0
Apartment,"Harar, Jugol, Gate 2","9.372022,42.119504","$188,811",341,2,3.0,1999.0,0.0
Apartment,"Gondar, Arada, Zone 2",Lon: 37.4159 / Lat: 12.5949,"$234,812",235,2,2.0,,0.0
Apartment,"Gambella, Tier-kidi, Block 1",Lon: 34.5596 / Lat: 8.2537,66989,152,zero,1.0,1970.0,0.0
Apartment,"Harar, Abadir, Zone 3","9.233588,42.118379",292186,495,4,3.0,2004.0,0.0
Villa,"Jimma, Hermata, Area 11","(7.64109, 36.82040)",218345,357,2,2.0,1988.0,1.0
Apartment,"Addis Ababa, Kirkos, Kebele 06","9.023753,38.708590",189944,187,zero,0.0,2000.0,2.0
Villa,"Assosa, Sherkole, District 3","10.093278,34.530316","$203,454",333 sqm,2,1.0,2016.0,0.0
Apartment,"Gambella, Newland, Zone 2","8.205940,34.490857",188003,419 sqm,2,2.0,2007.0,2.0
Apartment,"Bahir Dar, Meshenti, Village 7","(11.60826, 37.39564)",236033,265,2,2.0,2015.0,0.0
Condominium,"Mekelle, Kedamay Weyane, Community 2",Lon: 39.4558 / Lat: 13.4695,161328,337,3,2.0,1973.0,0.0
Villa,"Gambella, Newland, Zone 3","(8.23532, 34.60357)","$84,354",150,zero,0.0,1960.0,0.0
Condominium,"Addis Ababa, Lideta, Zone 3","9.047665,38.693733","$500,912",489,4,4.0,2004.0,2.0
Villa,"Mekelle, Hadnet, Admin Unit 6","13.529676,39.503792",236951,295,zero,0.0,2007.0,0.0
Villa,"Dire Dawa, Goro, Sector 2","9.610559,41.861476",304658,332,2,2.0,1989.0,1.0
Villa,"Adama, Dabe, Kebele 14","8.510850,39.192598",280452,254,2,2.0,1978.0,0.0
Condominium,"Jimma, Hermata, Area 8","7.615597,36.792200",197190,418,1,2.0,2005.0,2.0
Villa,"Harar, Abadir, Zone 4",Lon: 42.1491 / Lat: 9.3852,"$163,804",274,zero,1.0,1971.0,0.0
Condominium,"Jimma, Jiren, Kebele 4",Lon: 36.7802 / Lat: 7.6257,121744,292,1,,1986.0,0.0
Apartment,"Gondar, Fasiledes, Kebele 7","12.599792,37.458030",202913,338,2,2.0,1998.0,1.0
Apartment,"Addis Ababa, Kirkos, Kebele 06","(9.02567, 38.78672)",273474,273,2,1.0,1960.0,0.0
Apartment,"Jimma, Jiren, Kebele 13","7.633743,36.859967","$209,791",450,4,3.0,2008.0,3.0
Condominium,"Assosa, Menge, Village Unit 9",Lon: 34.5723 / Lat: 9.9880,57271,238,zero,0.0,1995.0,0.0
Condominium,"Gambella, Tier-kidi, Block 3","(8.23266, 34.55021)","$119,728",314 sqm,1,1.0,1979.0,0.0
Condominium,"Addis Ababa, Arada, Woreda 10 Admin",,186117,187 sqm,1,1.0,1983.0,0.0
Condominium,"Gondar, Maraki, Community Block E",Lon: 37.4862 / Lat: 12.5473,"$113,417",205,zero,0.0,1979.0,0.0
Condominium,"Jimma, Hermata, Area 6","7.663839,36.839645","$89,758",235,zero,0.0,1999.0,0.0
Villa,"Addis Ababa, Arada, Woreda 09 Admin",Lon: 38.8015 / Lat: 9.0451,495901,338 sqm,1,0.0,2014.0,0.0
Villa,"Mekelle, Kedamay Weyane, Community 5","13.394692,39.432727","$369,898",347 sqm,2,2.0,2012.0,1.0
Villa,"Dire Dawa, Goro, Sector 8","9.620360,41.790772","$396,422",480,2,3.0,2002.0,2.0
Condominium,"Gondar, Fasiledes, Kebele 9",Lon: 37.4511 / Lat: 12.6121,274008,500 sqm,2,3.0,2024.0,3.0
Villa,"Mekelle, Hadnet, Admin Unit 9","13.446771,39.558968",273826,313,2,1.0,2001.0,0.0
Apartment,"Gondar, Maraki, Community Block E","12.567748,37.415138",153178,239 sqm,1,1.0,1977.0,0.0
Apartment,"Gondar, Fasiledes, Kebele 5","12.551649,37.406945",188610,320,1,0.0,1987.0,0.0
Villa,"Bahir Dar, Gish Abay, Sector 1","11.597693,37.237276",357671,354,3,3.0,1973.0,1.0
Villa,"Gambella, Tier-kidi, Block 5","8.331424,34.573005",179863,366 sqm,2,2.0,2006.0,0.0
Condominium,"Adama, Dabe, Kebele 9",Lon: 39.2319 / Lat: 8.4568,179580,400,2,2.0,1971.0,0.0
Villa,"Addis Ababa, Kirkos, Kebele 07",Lon: 38.8350 / Lat: 9.0187,657112,380,2,2.0,1999.0,0.0
Condominium,"Gondar, Arada, Zone 11","(12.63908, 37.47769)",213098,369,2,2.0,1992.0,1.0
Condominium,"Gambella, Tier-kidi, Block 7",Lon: 34.5735 / Lat: 8.2564,"$124,365",331 sqm,2,2.0,1973.0,
Villa,"Gondar, Arada, Zone 5","12.588028,37.470167",316440,311 sqm,2,2.0,1996.0,1.0
Villa,"Bahir Dar, Meshenti, Village 2",Lon: 37.3566 / Lat: 11.5603,374879,350,2,,1981.0,
Villa,"Harar, Amir-Nur, Block 17","9.343004,42.209845","$297,376",359 sqm,1,1.0,2018.0,2.0
Apartment,"Dire Dawa, Goro, Sector 7","9.563680,41.954998",223688,429,1,1.0,2014.0,2.0
Condominium,"Jimma, Hermata, Area 5","7.658105,36.784647",172234,383 sqm,2,1.0,2024.0,0.0
Villa,"Mekelle, Hawelti, Kebele 3","13.516863,39.441605",138643,150 sqm,zero,0.0,1972.0,0.0
Condominium,"Dire Dawa, Kezira, Kebele 8","9.594093,41.849492","$191,957",350 sqm,1,1.0,2014.0,2.0
Villa,"Bahir Dar, Meshenti, Village 9","(11.57301, 37.29862)","$462,236",458 sqm,2,2.0,2010.0,3.0
Condominium,"Dire Dawa, Goro, Sector 2","9.581344,41.699219",164046,388 sqm,1,1.0,2007.0,1.0
Villa,"Assosa, Sherkole, District 3","10.068019,34.585855","$151,155",352 sqm,2,1.0,1973.0,1.0
Apartment,"Gondar, Fasiledes, Kebele 7","12.594540,37.454964",207367,333,1,2.0,1993.0,2.0
Villa,"Assosa, Sherkole, District 4","10.115566,34.537017","$222,039",292,2,2.0,2010.0,1.0
Condominium,"Gondar, Maraki, Community Block A","12.463801,37.461420","$206,611",302,2,1.0,,1.0
Condominium,"Jimma, Jiren, Kebele 1",Lon: 36.9252 / Lat: 7.7094,"$149,437",394,2,2.0,2000.0,0.0
Condominium,"Harar, Jugol, Gate 1",,124927,282 sqm,1,1.0,1996.0,1.0
Villa,"Jimma, Hermata, Area 9","7.645224,36.901238",315668,350,2,3.0,2001.0,
Apartment,"Adama, Boku, Ganda 5","8.556595,39.235453","$230,995",364,2,3.0,1974.0,1.0
Condominium,"Assosa, Menge, Village Unit 9","10.082413,34.568082","$101,091",340,1,0.0,2016.0,0.0
Villa,"Dire Dawa, Kezira, Kebele 9","9.606374,41.855533",236982,278,1,1.0,2000.0,0.0
Apartment,"Gambella, Newland, Zone 1",Lon: 34.4858 / Lat: 8.2544,"$266,163",482,4,5.0,1996.0,1.0
Condominium,"Gambella, Tier-kidi, Block 2","(8.19478, 34.61576)",145617,400 sqm,1,1.0,2021.0,
Apartment,"Mekelle, Hadnet, Admin Unit 9","(13.47703, 39.49083)","$195,949",339,1,2.0,2003.0,0.0
Condominium,"Dire Dawa, Kezira, Kebele 7","9.595761,41.836968","$109,097",291,2,2.0,1960.0,0.0
Condominium,"Jimma, Hermata, Area 12","7.616402,36.892920",148729,491,1,1.0,2004.0,0.0
Apartment,"Mekelle, Hawelti, Kebele 8","13.543755,39.440398",121867,180,zero,0.0,2005.0,0.0
Villa,"Harar, Jugol, Gate 4","9.288319,42.234066",225872,279,1,1.0,2004.0,2.0
Condominium,"Harar, Amir-Nur, Block 17","(9.24555, 42.06462)",89024,257,1,0.0,,0.0
Condominium,"Adama, Dabe, Kebele 13","(8.45784, 39.12863)",134033,261,1,2.0,1978.0,0.0
Villa,"Jimma, Hermata, Area 13","7.717481,36.750675","$182,666",238 sqm,1,1.0,1984.0,2.0
Apartment,"Harar, Amir-Nur, Block 11","9.324033,42.216067",185718,294,1,1.0,2019.0,2.0
Villa,"Adama, Boku, Ganda 1","8.517467,39.335499",309564,363,2,3.0,1967.0,1.0
Condominium,"Addis Ababa, Kirkos, Kebele 04","(9.14378, 38.80760)",292516,375,3,,1973.0,1.0
Condominium,"Mekelle, Hawelti, Kebele 9","13.465064,39.475141","$149,182",267 sqm,3,3.0,1982.0,0.0
Villa,"Addis Ababa, Bole, Kebele 02","8.985049,38.773359",476690,321,zero,1.0,2020.0,0.0
Condominium,"Gondar, Fasiledes, Kebele 9",,"$60,690",150 sqm,zero,0.0,,0.0
Villa,"Harar, Abadir, Zone 7",,294465,405,2,1.0,1995.0,0.0
Condominium,"Dire Dawa, Goro, Sector 9","9.542994,41.817318",82544,160,zero,0.0,1960.0,
Condominium,"Assosa, Menge, Village Unit 7","10.050958,34.469895",98234,290,3,3.0,1978.0,1.0
Apartment,"Gambella, Newland, Zone 4","8.215978,34.511290","$207,365",495 sqm,3,4.0,2009.0,2.0
Condominium,"Gondar, Maraki, Community Block C","(12.56992, 37.41359)","$310,409",463,4,4.0,2024.0,3.0
Apartment,"Mekelle, Hawelti, Kebele 7","(13.47743, 39.48720)",113362,231,1,2.0,1978.0,0.0
Apartment,"Mekelle, Hawelti, Kebele 9","13.431352,39.453437","$176,222",244 sqm,1,1.0,1993.0,0.0
Condominium,"Assosa, Sherkole, District 1","(10.13298, 34.49996)","$136,643",340,2,1.0,2024.0,0.0
Villa,"Jimma, Hermata, Area 14","7.655957,36.825686","$308,498",375 sqm,3,,1992.0,0.0
Apartment,"Addis Ababa, Kirkos, Kebele 05","8.986357,38.658937",294570,262 sqm,zero,1.0,,0.0
Condominium,"Addis Ababa, Arada, Woreda 02 Admin",,228714,320 sqm,1,1.0,2011.0,0.0
Villa,"Addis Ababa, Lideta, Zone 6","(8.98975, 38.71565)",512561,250,1,1.0,1993.0,0.0
Villa,"Gambella, Tier-kidi, Block 7",Lon: 34.5121 / Lat: 8.2180,167509,251,1,1.0,2002.0,0.0
Apartment,"Harar, Amir-Nur, Block 13","9.313663,42.151446","$179,792",339 sqm,2,1.0,,
Condominium,"Adama, Dabe, Kebele 12","8.549933,39.182239","$252,493",456,2,2.0,2016.0,1.0
Apartment,"Mekelle, Hawelti, Kebele 4",Lon: 39.4022 / Lat: 13.4182,"$238,821",500,3,3.0,2024.0,1.0
Apartment,"Assosa, Menge, Village Unit 3","10.037826,34.577168",107440,315 sqm,2,2.0,1965.0,0.0
Condominium,"Adama, Goro, Rural Kebele 25",Lon: 39.2425 / Lat: 8.4668,219813,475,2,3.0,2021.0,3.0
Villa,"Assosa, Sherkole, District 5","10.009672,34.621770","$159,813",318,2,2.0,1986.0,0.0
Apartment,"Jimma, Jiren, Kebele 1","(7.60662, 36.80215)",102455,280,1,1.0,1978.0,0.0
Condominium,"Mekelle, Kedamay Weyane, Community 9","(13.47988, 39.53398)",172611,370 sqm,2,2.0,1998.0,2.0
Villa,"Adama, Goro, Rural Kebele 22","8.514833,39.324371","$322,475",348,1,2.0,1994.0,0.0
Apartment,"Jimma, Jiren, Kebele 9","7.672552,36.803554","$149,812",360,2,1.0,1989.0,0.0
Villa,"Gondar, Maraki, Community Block C","12.560712,37.457528","$450,880",471,4,3.0,1981.0,2.0
Villa,"Assosa, Sherkole, District 2","10.078714,34.555879",272824,419,2,2.0,2001.0,3.0
Condominium,"Bahir Dar, Meshenti, Village 3","(11.49252, 37.37561)",193486,335,2,1.0,1970.0,0.0
Condominium,"Mekelle, Kedamay Weyane, Community 7","(13.50330, 39.51627)",118657,306,2,1.0,1974.0,0.0
Apartment,"Dire Dawa, Goro, Sector 10","(9.56790, 41.86081)",83358,150,zero,1.0,1960.0,0.0
Villa,"Addis Ababa, Arada, Woreda 09 Admin","(9.07195, 38.79440)",976496,497,3,3.0,2024.0,3.0
Villa,"Assosa, Menge, Village Unit 5","10.015735,34.523355","$123,755",158 sqm,zero,0.0,2000.0,0.0
Villa,"Assosa, Sherkole, District 4",,120250,194 sqm,zero,0.0,1973.0,0.0
Villa,"Jimma, Jiren, Kebele 14","7.637802,36.838451",197807,275,2,1.0,1975.0,0.0
Villa,"Bahir Dar, Meshenti, Village 11","11.490005,37.331577",149894,197,1,0.0,1967.0,0.0
Apartment,"Gondar, Fasiledes, Kebele 9",Lon: 37.5177 / Lat: 12.5756,143069,208 sqm,zero,0.0,1970.0,0.0
Condominium,"Dire Dawa, Goro, Sector 2","9.563685,41.875466","$139,902",266,zero,,2002.0,0.0
Apartment,"Gondar, Arada, Zone 7","12.547308,37.505687",255070,339 sqm,1,2.0,2013.0,2.0
Villa,"Jimma, Jiren, Kebele 2","7.626806,36.800489",162447,291,1,0.0,1968.0,0.0
Apartment,"Assosa, Menge, Village Unit 1",Lon: 34.5055 / Lat: 10.0255,106879,287,2,3.0,1968.0,0.0
Villa,"Bahir Dar, Meshenti, Village 11","11.544326,37.344089","$523,715",415,2,2.0,2024.0,1.0
Condominium,"Bahir Dar, Gish Abay, Sector 5","11.538984,37.399419",254958,368,1,2.0,2015.0,2.0
Villa,"Gambella, Newland, Zone 2","(8.13418, 34.52325)","$259,628",322,2,3.0,2024.0,4.0
Villa,"Mekelle, Hawelti, Kebele 1","(13.47212, 39.49455)",296039,291,2,2.0,2004.0,0.0
Apartment,"Gambella, Tier-kidi, Block 7","8.211703,34.603540",123163,228,1,1.0,1998.0,1.0
